genes	m0 control1	m0 control2	m0 control3	m0 control4	m0 Latex	m0 E. coli	m0 EHEC	m0 S. typhi	m0 S. typhimirium	m0 S. aureus	m0 L. monocytogenes	m0 M. tuberculosis	m0 M. bovis BCG	m0 LPS E	m0 LPS S	m0 LTA	m0 MDP	m0 TB hsp70	m0 BCG hsp65	m0 MPA	m0 f-MLP	m0 Protein A	m0 Mannose	m0 IFN-alpha	m0 IFN-beta	m0 IFN-gamma	m0 IL-10	m0 IL-12	m0 (U937) control1	m0 (U937) B. pertussis 338	m0 (U937) B. pertussis 537 (avirulent)	m0 (U937) B. pertussis A2-6 (AC-)	m0 (U937) B. pertussis Tox6 (PT-)	DC control1	DC control2	DC control3	DC E. coli 	DC Influenza 	DC C. albicans 	DC LPS 	DC PolyIC 	DC Mannan 
SSRP1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.111	1.285	             NaN	1.0805	             NaN	             NaN	2.5447	2.0459	             NaN	1.0613	1.3339	1.2618	             NaN	1.0227	1.0809	1.044	1.4696	2.8918	2.8918	2.8918	2.8918	             NaN	             NaN	             NaN	             NaN	             NaN	1.9905	1.0762	1.5391	1.0294	             NaN	             NaN	1.737	             NaN	1.3219
PPIB	1.4703	             NaN	4.504	             NaN	             NaN	             NaN	4.504	1.0904	1.7477	             NaN	4.504	             NaN	             NaN	             NaN	             NaN	2.9317	1.0598	4.504	4.504	             NaN	             NaN	             NaN	             NaN	3.8704	3.8704	3.8704	3.8704	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5558	2.8278	1.4057	2.0865	             NaN	1.263	1.3277	1.161
DDX1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.7038	             NaN	2.033	2.7072	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2579	             NaN	             NaN	             NaN	             NaN	             NaN	1.6733	1.6733	1.4922	1.6733	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.891	1.1073	1.1073	1.195	             NaN	1.3219	             NaN
SNRPD3	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5798	1.2997	2.2343	1.0771	1.3131	             NaN	             NaN	1.374	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.9335	2.9335	2.9335	2.9335	1.8202	             NaN	             NaN	             NaN	             NaN	             NaN	1.3717	             NaN	             NaN	             NaN	             NaN	1.0269	1	1.737	1.161
DHX9	1.0876	             NaN	             NaN	             NaN	             NaN	             NaN	1.0804	2.1667	1.8109	1.6905	1.5416	             NaN	             NaN	1.4639	             NaN	1.3979	             NaN	             NaN	             NaN	1.4487	             NaN	             NaN	             NaN	2.8791	2.3827	1.3762	2.8791	2.7311	             NaN	             NaN	             NaN	             NaN	             NaN	1.7485	             NaN	             NaN	             NaN	1.744	             NaN	1	             NaN	             NaN
EXOSC7	1.2128	             NaN	1.3079	1.0016	             NaN	2.1931	1.9443	1.3532	1.3532	1.9443	1.9443	             NaN	             NaN	1.4321	1.4321	             NaN	1.7637	1.9443	1.4841	             NaN	1.036	             NaN	1.3564	1.6563	1.6563	1.6563	1.6563	1.0586	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.085	1.9486	             NaN	             NaN	             NaN
NMT1	             NaN	             NaN	             NaN	1.0016	             NaN	             NaN	1.6052	2.077	1.568	             NaN	1.0904	             NaN	1.4356	             NaN	             NaN	             NaN	1.2812	             NaN	             NaN	             NaN	1.4999	1.4054	1.4349	2.5786	2.5786	2.5786	2.5786	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1763	             NaN	             NaN	1.2478	             NaN	1.1168	1.3219	             NaN	             NaN
THRAP4	             NaN	             NaN	1.0195	             NaN	             NaN	1.6027	             NaN	1.2057	             NaN	             NaN	             NaN	             NaN	1.4138	1.8782	             NaN	1.5804	1.8293	1.4214	3.6038	             NaN	             NaN	             NaN	             NaN	2.3166	             NaN	2.3166	             NaN	1.8466	             NaN	             NaN	1.34	             NaN	1.27	             NaN	1.0976	             NaN	1.1073	             NaN	             NaN	1.585	             NaN	             NaN
NAP1L4	1.2383	             NaN	             NaN	1.6806	1.452	1.6659	             NaN	             NaN	2.1547	             NaN	             NaN	             NaN	1.6908	1.3297	1.9739	             NaN	1.6037	1.3608	             NaN	             NaN	2.165	1.7003	1.6488	1.6818	1.6818	1.6818	1.6818	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1506	3.6112	             NaN	             NaN	1.3832	1.926	1.3115	             NaN
SUPT5H	             NaN	             NaN	             NaN	             NaN	1.6368	             NaN	             NaN	             NaN	2.2863	             NaN	1.2479	             NaN	             NaN	1.3926	1.1131	2.8587	             NaN	             NaN	             NaN	             NaN	1.0381	             NaN	1.1384	1.3869	1.3869	1.3869	1.3869	1.0689	1.22	             NaN	             NaN	             NaN	             NaN	1.0144	             NaN	1.1571	             NaN	1.0494	             NaN	1.3667	             NaN	1.161
HSPH1	1.7727	             NaN	1.0532	             NaN	1.1265	             NaN	2.2272	1.2926	1.5353	             NaN	1.3482	             NaN	1.0238	             NaN	             NaN	1.0334	             NaN	1.3617	1.4586	1.0204	             NaN	             NaN	             NaN	3.4111	3.4111	1.815	2.6131	1.0113	2.96	             NaN	             NaN	             NaN	             NaN	1.1275	2.6645	             NaN	1.0703	             NaN	             NaN	             NaN	1.3219	1.5294
SNX17	2.0749	             NaN	1.1668	2.0117	1.4106	1.6602	             NaN	1.0487	             NaN	1.0571	1.0946	1.0336	1.0521	             NaN	1.7403	3.1846	             NaN	1.3703	3.3319	1.3741	2.2898	1.4348	1.5101	2.0382	2.0382	2.0382	2.0382	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.2824	             NaN	             NaN	             NaN	             NaN	1.7165	             NaN
MBTPS1	             NaN	             NaN	             NaN	1.0297	1.8924	2.6057	             NaN	2.0147	2.0147	             NaN	1.0674	             NaN	1.1729	2.2519	1.8975	1.022	1.1976	1.6696	             NaN	2.2519	1.1671	1.0191	1.4272	1.8895	             NaN	1.8895	1.8895	1.8895	             NaN	             NaN	             NaN	             NaN	             NaN	2.3923	             NaN	3.5135	             NaN	1.7864	             NaN	             NaN	2.926	1.161
CTBP1	1.3481	             NaN	1.5941	1.6842	1.0962	             NaN	1.5625	1.0134	1.3711	             NaN	             NaN	1.5328	             NaN	1.2764	1.7809	             NaN	             NaN	2.8213	             NaN	1.5286	1.7365	1.4037	1.0521	             NaN	1.9466	1.1461	1.1461	1.7994	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.8074	1.3467	             NaN	1.6863	             NaN	2.0356	             NaN	2.0294
BTF3L3	             NaN	             NaN	             NaN	1.2021	             NaN	             NaN	             NaN	1.6525	2.5322	             NaN	1.7357	             NaN	             NaN	             NaN	1.0427	1.123	             NaN	2.0617	2.0617	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1716	1.2909	1.4734	             NaN	             NaN	             NaN	             NaN	             NaN	1.015	             NaN	1.1349	             NaN	1.2298	             NaN	             NaN	             NaN	             NaN
ERCC3	             NaN	1.0181	             NaN	1.4248	1.2051	             NaN	2.4524	1.6889	1.0046	1.3615	2.0679	1.2976	1.0949	             NaN	             NaN	2.0074	             NaN	2.0464	2.0777	             NaN	             NaN	1.1204	1.3541	             NaN	             NaN	             NaN	             NaN	1.0792	             NaN	             NaN	             NaN	             NaN	             NaN	1.3219	             NaN	1.6724	1.1073	             NaN	1.1073	             NaN	1.737	             NaN
THOC1	             NaN	             NaN	1.2499	1.7197	             NaN	             NaN	1.9444	1.617	1.3006	1.9444	1.9444	             NaN	             NaN	             NaN	             NaN	1.2594	             NaN	1.4604	             NaN	1.0775	             NaN	1.2449	1.2228	             NaN	             NaN	2.8181	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.0297	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN
KIAA0252	1.3847	             NaN	             NaN	1.6327	1.0293	1.0704	             NaN	1.0325	             NaN	1.1543	             NaN	             NaN	1.271	             NaN	             NaN	1.1661	1	1.9294	             NaN	1.2044	             NaN	1.2561	1.0851	             NaN	             NaN	2.2508	             NaN	1.353	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.9928	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN
SNX19	             NaN	1.0278	2.2833	1.1181	             NaN	1.0278	2.2833	1.1589	1.2163	1.0276	2.2833	1.0278	             NaN	1.9834	1.7693	1.3456	             NaN	1.6116	             NaN	1.9834	             NaN	             NaN	1.199	             NaN	1.9166	1.4155	1.0386	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.0704	             NaN	1.5118	             NaN	1.661	1.0458	             NaN	1.737	             NaN
ICT1	             NaN	             NaN	1.8052	             NaN	1.173	             NaN	1.2274	1.6991	1.6991	1.3274	1.1765	             NaN	             NaN	             NaN	             NaN	1.1366	1.155	2.7943	1.9428	             NaN	             NaN	             NaN	             NaN	             NaN	1.0927	1.6328	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2191	1.1073	1.1073	             NaN	             NaN	1.161	1.3219
PIGH	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3768	1.1012	1.2079	1.2165	1.5475	             NaN	             NaN	             NaN	             NaN	1.991	1.0761	1.9698	             NaN	             NaN	1.133	             NaN	             NaN	             NaN	             NaN	1.6928	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1462	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN
